name,institution,test_score,institution_conflicts,team_conflicts,adj_conflicts,gender,adj_core,independent,trainee,email
Crispus Underhill,Upbourn,3,Caras Galadhon,,,male,,,,CrispusUnderhill@rhyta.com
Kathrin Frankfurter,UG Anfalas,5,,,,female,,,,KathrinFrankfurter@teleworm.us
Tea van der Poel,RI Rohan,1,,,,female,,,,TeavanderPoel@teleworm.us
Carly Cunningham,Éothéod,2,,,,female,,,,CarlyCunningham@armyspy.com
Dennis Villalpando,Dale,2,,,,male,,,,DennisVillalpandoGaribay@superrito.com
Zac Grainger,Edoras,3,,,,male,,,,ZacGrainger@teleworm.us
Kevin Werner,Minas Tirith,3,,,,male,,,,KevinWerner@armyspy.com
Tao Huang,RI Rohan,2,,,,female,,,,TaoHuang@dayrep.com
Johanna Holm,Mithlond,2,,,,female,,,,JohannaHolm@gustr.com
Hrund Hrafnkelsdóttir,Dale,2,,,,female,,,,HrundHrafnkelsdottir@superrito.com
Tellervo Hyssälä,UG Lossarnach,5,Isengard,,,female,,,,TellervoHyssala@armyspy.com
Aaliyah Robinson,Dale,2,,,,female,,,,AaliyahRobinson@dayrep.com
Czesława Kucharska,Northern Mirkwood,2,,,Semere Awate,female,,,,CzeslawaKucharska@einrot.com
Hoàn Đặng,Lórien,3,UG Ringló Vale,,,male,,,,angVinhHoan@superrito.com
Lian Ts'ai,Bree,5,Minas Tirith,,,female,,,,LianTsai@gustr.com
Kim Gunnarsson,Staddle,3,,,,female,,,,KimGunnarsson@superrito.com
Ellen Karlsdóttir,Southern Mirkwood,2,,,,female,,,,EllenKarlsdottir@gustr.com
Rós Guðgeirsdóttir,Isengard,4,,,,female,,,,RosGugeirsdottir@rhyta.com
Nail Degtyaryov,UG Ringló Vale,3,Minas Tirith,,,male,,,,NailDegtyaryov@gustr.com
Maria Aasen,Bree,4,Hobbiton,,Christophe Salois,female,,,,MariaAasen@dayrep.com
Elmurza Chichigov,Edoras,2,,,,male,,,,ElmurzaChichigov@superrito.com
Fareeq Shamon,Edoras,4,,,,male,,,,FareeqMutaShamon@gustr.com
Ruairidh Kennedy,The Shire,2,,,,male,,,,RuairidhKennedy@teleworm.us
Oliver Murray,UG Lebennin,3,Iron Hills,,,male,,,,OliverMurray@gustr.com
Khaza Dratchev,Southern Mirkwood,1,,,,female,,,,KhazaDratchev@armyspy.com
Artin Mårtensson,Ithilien,5,Éothéod,,,male,,,,ArtinMartensson@superrito.com
Neven Barišić,UG Ringló Vale,3,,,,male,,,,NevenBarisic@jourrapide.com
Jiří Makovička,Dol Amroth,3,,,Isak Jensen,male,,,,JiriMakovicka@einrot.com
Bella Halcomb,Pelargir,1,,,,female,,,,BellaHalcomb@teleworm.us
Gabriel Curran,Rivendell,5,,Caras Galadhon SD,,male,,,,GabrielCurran@jourrapide.com
Merry Brandagamba,Dol Amroth,1,,,,male,,,1,MerryBrandagamba@gustr.com
Diego Barbosa,Bree,1,,,,male,,,1,DiegoAlmeidaBarbosa@armyspy.com
Davi Correia,RI Rohan,1,,,,male,,,1,DaviSousaCorreia@teleworm.us
Krešimir Mihaljević,Rivendell,1,,,,male,,,1,KresimirMihaljevic@teleworm.us
Chukwubuikem Iloabuchi,Lórien,1,,,,male,,,1,ChukwubuikemIloabuchi@superrito.com
Abraham Welde,Bree,1,,,,male,,,1,AbrahamWelde@dayrep.com
Camille Lajoie,Pelargir,1,Staddle,,,female,,,1,CamilleLajoie@jourrapide.com
