name,institution,team_name,use_institution_prefix,gender,email
Örvar Ómarsson,Dale,YÓ,1,male,OrvarOmarsson@teleworm.us
Ymke Owusu,Dol Amroth,OO,1,female,YmkeOwusu@einrot.com
Ibeamaka Otutodilinna,Dol Amroth,OO,1,male,IbeamakaOtutodilinna@rhyta.com
Patricia Repina,Dorwinion,RB,1,female,PatriciaRepina@dayrep.com
Lodovica Boni,Dorwinion,RB,1,female,LodovicaBoni@rhyta.com
Shirabe Kaneko,Dorwinion,KL,1,female,ShirabeKaneko@gustr.com
Regina Loggia,Dorwinion,KL,1,female,ReginaLoggia@rhyta.com
Ine Suda,Dorwinion,SH,1,female,IneSuda@fleckens.hu
Patrick Hussein,Dorwinion,SH,1,male,PatrickHussein@fleckens.hu
Evelyn Almeida,Dorwinion,AV,1,female,EvelynMartinsAlmeida@superrito.com
Marie Vytlačilová,Dorwinion,AV,1,female,MarieVytlacilova@cuvox.de
Aune Leppälä,Edoras,LR,1,female,AuneLeppala@teleworm.us
Circe Rodarte,Edoras,LR,1,female,CirceRodarteGaytan@einrot.com
Yousui Nakanishi,Edoras,NB,1,male,YousuiNakanishi@superrito.com
Vitória Barbosa,Edoras,NB,1,female,VitoriaSilvaBarbosa@rhyta.com
Rafah Naifeh,Edoras,NY,1,female,RafahFalakNaifeh@einrot.com
Naotatsu Yokoyama,Edoras,NY,1,male,NaotatsuYokoyama@armyspy.com
Felicienne Champagne,Éothéod,CT,1,female,FelicienneChampagne@armyspy.com
Nike Tožbar,Éothéod,CT,1,female,NikeTozbar@teleworm.us
Santiago Howard,Éothéod,HT,1,male,SantiagoSHoward@cuvox.de
Kacey Thompson,Éothéod,HT,1,female,KaceyThompson@cuvox.de
Franciska Gyenis,Éothéod,GB,1,female,GyenisFranciska@gustr.com
Jesper Boncoeur,Éothéod,GB,1,male,JesperBoncoeur@gustr.com
Eligiusz Szczepański,Éothéod,SH,1,male,EligiuszSzczepanski@fleckens.hu
Marja Huovinen,Éothéod,SH,1,female,MarjaHuovinen@gustr.com
Hortencia Ellis,Éothéod,EB,1,female,HortenciaGEllis@cuvox.de
Angelina Belyakova,Éothéod,EB,1,female,AngelinaBelyakova@armyspy.com
Ella Chin Kaw,Erebor,CN,1,female,EllaChinKaw@dayrep.com
Meeri Nyman,Erebor,CN,1,female,MeeriNyman@armyspy.com
Mali Sultanovich,Erebor,SR,1,female,MaliSultanovich@jourrapide.com
Ravi Rotteveel,Erebor,SR,1,male,RaviRotteveel@teleworm.us
Izaket Akhtakhanov,Erebor,AP,1,female,IzaketAkhtakhanov@dayrep.com
Michael Ponomarev,Erebor,AP,1,male,MichaelPonomarev@rhyta.com
Dositeo Sauceda,Erebor,SN,1,male,DositeoSaucedaRuvalcaba@jourrapide.com
Nkemka Nwabugwu,Erebor,SN,1,female,NkemkaNwabugwu@jourrapide.com
Thomas Gjedrem,Hobbiton,GM,1,male,ThomasGjedrem@jourrapide.com
Demsas Mewael,Hobbiton,GM,1,male,DemsasMewael@jourrapide.com
Obielumani Chukwubuikem,Hobbiton,CD,1,male,ObielumaniChukwubuikem@armyspy.com
Jurek Dąbrowski ,Hobbiton,CD,1,male,JurekDabrowski@cuvox.de
Ela Borkowska,Hobbiton,BI,1,female,ElaBorkowska@gustr.com
Patrik Ivanović,Hobbiton,BI,1,male,PatrikIvanovic@teleworm.us
Ryan Watt,Iron Hills,WS,1,male,RyanWatt@fleckens.hu
Adam Stanley,Iron Hills,WS,1,male,AdamStanley@gustr.com
Ruby Took-Brandybuck,Iron Hills,TB,1,female,RubyTook-Brandybuck@rhyta.com
Daría Briones,Iron Hills,TB,1,female,DariaBrionesPerales@rhyta.com
Lindsay Jones,Iron Hills,JR,1,female,LindsayJJones@rhyta.com
Júlia Rocha,Iron Hills,JR,1,female,JuliaSouzaRocha@fleckens.hu
Beaufort Dagenais,Iron Hills,DD,1,male,BeaufortDagenais@teleworm.us
Fahdah Deeb,Iron Hills,DD,1,female,FahdahBarirahDeeb@fleckens.hu
Jodie Williamson,Iron Hills,WN,1,female,JodieWilliamson@armyspy.com
Somadina Nwokike,Iron Hills,WN,1,female,SomadinaNwokike@einrot.com
Tuất Tôn,Isengard,TK,1,male,TonHungTuat@teleworm.us
Markha Kadiev,Isengard,TK,1,female,MarkhaKadiev@dayrep.com
Tamara Barna,Isengard,BH,1,female,BarnaTamara@einrot.com
Ivana Hanáčková,Isengard,BH,1,female,IvanaHanackova@gustr.com
Femme Oehlers,Isengard,OS,1,female,FemmeOehlers@armyspy.com
Zaurbek Sultanovich,Isengard,OS,1,male,ZaurbekSultanovich@armyspy.com
Nura Rushisvili,Ithilien,RF,1,female,NuraRushisvili@dayrep.com
Luca Frei,Ithilien,RF,1,male,LucaFrei@armyspy.com
Rasmus Pedersen,Ithilien,PG,1,male,RasmusJPedersen@dayrep.com
Sancho Gamgee,Ithilien,PG,1,male,SanchoGamgee@cuvox.de
Jennifer Rothman,Ithilien,RV,1,female,JenniferDRothman@armyspy.com
Rez Veress,Ithilien,RV,1,male,VeressRez@teleworm.us
Rikard Csizmadia,Ithilien,CI,1,male,CsizmadiaRikard@gustr.com
Chisom Iheatu,Ithilien,CI,1,female,ChisomIheatu@dayrep.com
Durar Almasi,Lórien,AJ,1,female,DurarSaihahAlmasi@dayrep.com
Niamh Johannes,Lórien,AJ,1,female,NiamhJohannes@superrito.com
Omar Berg,Lórien,BN,1,male,OmarBerg@dayrep.com
Mehret Nuguse,Lórien,BN,1,female,MehretNuguse@armyspy.com
Florus Couet,Lórien,CD,1,male,FlorusCouet@teleworm.us
Ella Dumas,Lórien,CD,1,female,EllaDumas@rhyta.com
Courtney Leach,Lórien,LV,1,female,CourtneyLeach@jourrapide.com
Cung Võ,Lórien,LV,1,male,VoXuanCung@rhyta.com
Brigitte Metzger,Minas Tirith,MK,1,female,BrigitteMetzger@einrot.com
Bećir Kontestabile,Minas Tirith,MK,1,male,BecirKontestabile@teleworm.us
Hans Sandström,Minas Tirith,SW,1,male,HansSandstrom@fleckens.hu
Rafael Wiles,Minas Tirith,SW,1,male,RafaelSWiles@dayrep.com
Inas Said,Minas Tirith,SG,1,female,InasSumaiyaSaid@armyspy.com
Sovbika Gairbekov,Minas Tirith,SG,1,female,SovbikaGairbekov@rhyta.com
John Tobiassen,Minas Tirith,TI,1,male,JohnTobiassen@einrot.com
Luukas Ikonen,Minas Tirith,TI,1,male,LuukasIkonen@armyspy.com
Dominic Walton,Mithlond,WW,1,male,DominicWalton@teleworm.us
James Wright,Mithlond,WW,1,male,JamesJWright@fleckens.hu
Dorene Brunault,Mithlond,BD,1,female,DoreneBrunault@teleworm.us
Dani Delijaj,Mithlond,BD,1,female,DaniDelijaj@gustr.com
Dieter Konig,Mithlond,KY,1,male,DieterKonig@teleworm.us
Zula Yonas,Mithlond,KY,1,male,ZulaYonas@rhyta.com
Vitor Almeida,Mithlond,AG,1,male,VitorCostaAlmeida@cuvox.de
Agnar Georgsson,Mithlond,AG,1,male,AgnarGeorgsson@cuvox.de
Seth Simos,Northern Mirkwood,ST,1,male,SethSimos@fleckens.hu
Lelio Toscani,Northern Mirkwood,ST,1,male,LelioToscani@rhyta.com
Julie Johansen,Northern Mirkwood,JP,1,female,JulieJohansen@superrito.com
Texas Petersson,Northern Mirkwood,JP,1,male,TexasPetersson@einrot.com
Renata Hajná,Northern Mirkwood,HW,1,female,RenataHajna@fleckens.hu
Melilot Whitfoot,Northern Mirkwood,HW,1,female,MelilotWhitfoot@einrot.com
Bartolomeo Zito,Pelargir,ZS,1,male,BartolomeoZito@cuvox.de
Fesahaye Selam,Pelargir,ZS,1,male,FesahayeSelam@superrito.com
Birthe Davidsen,RI Rohan,DN,1,female,BirtheDavidsen@teleworm.us
Odili Ndubuisi,RI Rohan,DN,1,male,OdiliNdubuisi@einrot.com
Lukas Ekström,Rivendell,EM,1,male,LukasEkstrom@superrito.com
Chikwado Madueke,Rivendell,EM,1,male,ChikwadoMadueke@superrito.com
Yohannes Hagos,Rivendell,HS,1,male,YohannesHagos@cuvox.de
Elita Sultygov,Rivendell,HS,1,female,ElitaSultygov@jourrapide.com
Falerina Hébert,Rivendell,HT,1,female,FalerinaHebert@cuvox.de
Huân Tạ,Rivendell,HT,1,male,TaThanhHuan@fleckens.hu
William Mogensen,Rivendell,MN,1,male,WilliamRMogensen@armyspy.com
Thamer Nassar,Rivendell,MN,1,male,ThamerAdnanNassar@jourrapide.com
Karl Garðarsson,Rohan Military,GH,1,male,KarlGararsson@gustr.com
Pernille Hermansen,Rohan Military,GH,1,female,PernilleDHermansen@fleckens.hu
Osman Nasih,Rohan Military,ND,1,male,OsmanNasih@einrot.com
Katarzyna Dudek,Rohan Military,ND,1,female,KatarzynaDudek@gustr.com
Peterke Bodo,Southern Mirkwood,BO,1,male,BodoPeterke@cuvox.de
Chimaijem Obielumani,Southern Mirkwood,BO,1,female,ChimaijemObielumani@teleworm.us
Ängla Nyström,Southern Mirkwood,NV,1,female,AnglaNystrom@teleworm.us
Olga Väätäinen,Southern Mirkwood,NV,1,female,OlgaVaatainen@armyspy.com
Lokman Bolka,Staddle,BC,1,male,LokmanBolka@rhyta.com
Samantha Coxen,Staddle,BC,1,female,SamanthaCoxen@teleworm.us
Brice Routhier,Staddle,RP,1,female,BriceRouthier@armyspy.com
Daniel Poulsen,Staddle,RP,1,male,DanielPoulsen@cuvox.de
Zaynap Bisliev,Staddle,BD,1,female,ZaynapBisliev@dayrep.com
Vitéz Dömötör,Staddle,BD,1,male,DomotorVitez@jourrapide.com
Chân Võ,The Shire,VS,1,female,VoThiGamChan@fleckens.hu
Joseph Steele,The Shire,VS,1,male,JosephSteele@superrito.com
Erlend Sandbakken,The Shire,SM,1,male,ErlendSandbakken@fleckens.hu
Ye Meng,The Shire,SM,1,male,YeMeng@superrito.com
Musette Lajoie,The Shire,LD,1,female,MusetteLajoie@dayrep.com
Lechosława Dąbrowski ,The Shire,LD,1,female,LechoslawaDabrowski@fleckens.hu
Alhasan Atiyeh,The Shire,AS,1,male,AlhasanAfifAtiyeh@superrito.com
Cordelia Sagese,The Shire,AS,1,female,CordeliaSagese@teleworm.us
Rodrigo Araujo,UG Anfalas,AB,1,male,RodrigoCastroAraujo@einrot.com
Desimir Barišić,UG Anfalas,AB,1,male,DesimirBarisic@superrito.com
Sergiusz Grabowski,UG Anfalas,GV,1,male,SergiuszGrabowski@jourrapide.com
Sebastian Volodin,UG Anfalas,GV,1,male,SebastianVolodin@einrot.com
Jan Laine,UG Lebennin,LB,1,male,JanLaine@cuvox.de
Wyatt Bourgouin,UG Lebennin,LB,1,male,WyattBourgouin@dayrep.com
Roberto Vukelić,UG Lossarnach,VN,1,male,RobertoVukelic@cuvox.de
Enwelumokwu Nnonso,UG Lossarnach,VN,1,female,EnwelumokwuNnonso@armyspy.com
Gerardino Loggia,UG Lossarnach,LE,1,male,GerardinoLoggia@armyspy.com
Michelle Eriksen,UG Lossarnach,LE,1,female,MichelleSEriksen@gustr.com
Jaroslav Hornych,UG Ringló Vale,HB,1,male,JaroslavHornych@fleckens.hu
Lea Beich,UG Ringló Vale,HB,1,female,LeaBeich@gustr.com
Edward Lennon,UG Ringló Vale,LK,1,male,EdwardLennon@armyspy.com
Oksana Kubíková,UG Ringló Vale,LK,1,female,OksanaKubikova@einrot.com
Jan Rogstad,UG Ringló Vale,RK,1,male,JanRogstad@jourrapide.com
Aleksander Kowalczyk,UG Ringló Vale,RK,1,male,AleksanderKowalczyk@armyspy.com
Caio Marino,Upbourn,MK,1,male,CaioMarino@fleckens.hu
Aziz Kidane,Upbourn,MK,1,male,AzizKidane@einrot.com
Mebrahtu Nasih,Upbourn,NB,1,male,MebrahtuNasih@gustr.com
Amaury Bousquet,Upbourn,NB,1,male,AmauryBousquet@dayrep.com
Izydor Zawadzki,Upbourn,ZS,1,male,IzydorZawadzki@cuvox.de
Utka Segovia,Upbourn,ZS,1,male,UtkaSegoviaBaca@fleckens.hu
