name,email,gender,institution,adj_core,independent
Neven Barišić,NevenBarisic@jourrapide.com,male,Upbourn,FALSE,FALSE
Jiří Makovička,JiriMakovicka@einrot.com,male,RI Rohan,FALSE,FALSE
Bella Halcomb,BellaHalcomb@teleworm.us,female,Southern Mirkwood,FALSE,FALSE
Gabriel Curran,GabrielCurran@jourrapide.com,male,Ithilien,FALSE,FALSE
Merry Brandagamba,MerryBrandagamba@gustr.com,male,Upbourn,FALSE,FALSE
Diego Barbosa,DiegoAlmeidaBarbosa@armyspy.com,male,Erebor,FALSE,FALSE
Davi Correia,DaviSousaCorreia@teleworm.us,male,Caras Galadhon,FALSE,FALSE
Krešimir Mihaljević,KresimirMihaljevic@teleworm.us,male,Iron Hills,FALSE,FALSE
Chukwubuikem Iloabuchi,ChukwubuikemIloabuchi@superrito.com,male,Dorwinion,FALSE,FALSE
Abraham Welde,AbrahamWelde@dayrep.com,male,Éothéod,FALSE,FALSE
Camille Lajoie,CamilleLajoie@jourrapide.com,female,Dorwinion,FALSE,FALSE
