institution,reference,use_institution_prefix,break_category,speaker1_name,speaker1_email,speaker1_gender,speaker1_category,speaker2_name,speaker2_email,speaker2_gender,speaker2_category
Rivendell,DD,TRUE,open,Jurek Dąbrowski ,JurekDabrowski@cuvox.de,male,,Lechosława Dąbrowski ,LechoslawaDabrowski@fleckens.hu,female,novice
Rivendell,BA,TRUE,open,Ela Borkowska,ElaBorkowska@gustr.com,female,,Alhasan Atiyeh,AlhasanAfifAtiyeh@superrito.com,male,
Rivendell,IS,TRUE,open,Patrik Ivanović,PatrikIvanovic@teleworm.us,male,novice,Cordelia Sagese,CordeliaSagese@teleworm.us,female,
Rohan Military,WA,TRUE,open,Ryan Watt,RyanWatt@fleckens.hu,male,esl,Rodrigo Araujo,RodrigoCastroAraujo@einrot.com,male,
Rohan Military,SB,TRUE,open,Adam Stanley,AdamStanley@gustr.com,male,novice,Desimir Barišić,DesimirBarisic@superrito.com,male,
Southern Mirkwood,TG,TRUE,open,Ruby Took-Brandybuck,RubyTook-Brandybuck@rhyta.com,female,novice,Sergiusz Grabowski,SergiuszGrabowski@jourrapide.com,male,
Southern Mirkwood,BV,TRUE,open,Daría Briones,DariaBrionesPerales@rhyta.com,female,,Sebastian Volodin,SebastianVolodin@einrot.com,male,
Staddle,JL,TRUE,open/novice,Lindsay Jones,LindsayJJones@rhyta.com,female,novice,Jan Laine,JanLaine@cuvox.de,male,novice
Staddle,RB,TRUE,open,Júlia Rocha,JuliaSouzaRocha@fleckens.hu,female,,Wyatt Bourgouin,WyattBourgouin@dayrep.com,male,
Staddle,DV,TRUE,open,Beaufort Dagenais,BeaufortDagenais@teleworm.us,male,,Roberto Vukelić,RobertoVukelic@cuvox.de,male,
The Shire,DN,TRUE,open,Fahdah Deeb,FahdahBarirahDeeb@fleckens.hu,female,,Enwelumokwu Nnonso,EnwelumokwuNnonso@armyspy.com,female,
The Shire,WL,TRUE,open,Jodie Williamson,JodieWilliamson@armyspy.com,female,novice,Gerardino Loggia,GerardinoLoggia@armyspy.com,male,
The Shire,NE,TRUE,open,Somadina Nwokike,SomadinaNwokike@einrot.com,female,,Michelle Eriksen,MichelleSEriksen@gustr.com,female,
The Shire,TH,TRUE,open/esl,Tuất Tôn,TonHungTuat@teleworm.us,male,esl,Jaroslav Hornych,JaroslavHornych@fleckens.hu,male,esl
UG Anfalas,KB,TRUE,open/esl,Markha Kadiev,MarkhaKadiev@dayrep.com,female,esl,Lea Beich,LeaBeich@gustr.com,female,esl
UG Anfalas,BL,TRUE,open/esl/novice,Tamara Barna,BarnaTamara@einrot.com,female,esl/novice,Edward Lennon,EdwardLennon@armyspy.com,male,esl/novice
UG Lebennin,HK,TRUE,open,Ivana Hanáčková,IvanaHanackova@gustr.com,female,,Oksana Kubíková,OksanaKubikova@einrot.com,female,novice
UG Lossarnach,OR,TRUE,open/novice,Femme Oehlers,FemmeOehlers@armyspy.com,female,novice,Jan Rogstad,JanRogstad@jourrapide.com,male,novice
UG Lossarnach,SK,TRUE,open,Zaurbek Sultanovich,ZaurbekSultanovich@armyspy.com,male,,Aleksander Kowalczyk,AleksanderKowalczyk@armyspy.com,male,
UG Ringló Vale,RM,TRUE,open/esl,Nura Rushisvili,NuraRushisvili@dayrep.com,female,esl,Caio Marino,CaioMarino@fleckens.hu,male,esl
UG Ringló Vale,FK,TRUE,open,Luca Frei,LucaFrei@armyspy.com,male,,Aziz Kidane,AzizKidane@einrot.com,male,
UG Ringló Vale,PN,TRUE,open,Rasmus Pedersen,RasmusJPedersen@dayrep.com,male,,Mebrahtu Nasih,MebrahtuNasih@gustr.com,male,novice
Upbourn,GB,TRUE,open/esl/novice,Sancho Gamgee,SanchoGamgee@cuvox.de,male,esl/novice,Amaury Bousquet,AmauryBousquet@dayrep.com,male,esl/novice
Upbourn,RZ,TRUE,open,Jennifer Rothman,JenniferDRothman@armyspy.com,female,esl,Izydor Zawadzki,IzydorZawadzki@cuvox.de,male,
Upbourn,VS,TRUE,open,Rez Veress,VeressRez@teleworm.us,male,esl,Utka Segovia,UtkaSegoviaBaca@fleckens.hu,male,
